CustomerID,CustomerName,Gender,Age,Region,CustomerSegment,JoinDate
10001,Customer_10001,Male,68,South,Consumer,2023-03-09
10002,Customer_10002,Other,57,Central,Consumer,2024-08-11
10003,Customer_10003,Female,24,North,Enterprise,2025-04-01
10004,Customer_10004,Female,49,Central,Consumer,2024-08-03
10005,Customer_10005,Male,65,North,Consumer,2024-11-29
10006,Customer_10006,Male,36,East,Consumer,2024-02-05
10007,Customer_10007,Male,23,South,Consumer,2024-06-26
10008,Customer_10008,Female,37,East,Enterprise,2022-03-26
10009,Customer_10009,Female,44,East,Small Business,2024-02-23
10010,Customer_10010,Female,60,East,Consumer,2024-03-26
10011,Customer_10011,Male,54,East,Small Business,2025-01-19
10012,Customer_10012,Other,65,West,Consumer,2025-11-09
10013,Customer_10013,Female,24,West,Consumer,2025-05-01
10014,Customer_10014,Male,22,West,Enterprise,2025-06-30
10015,Customer_10015,Male,28,South,Consumer,2025-06-21
10016,Customer_10016,Male,32,East,Small Business,2023-12-08
10017,Customer_10017,Male,20,East,Small Business,2022-09-27
10018,Customer_10018,Female,22,South,Small Business,2024-04-20
10019,Customer_10019,Male,40,East,Enterprise,2024-11-08
10020,Customer_10020,Male,54,South,Consumer,2024-11-29
10021,Customer_10021,Female,26,North,Consumer,2023-05-31
10022,Customer_10022,Male,32,South,Consumer,2024-11-22
10023,Customer_10023,Male,20,North,Small Business,2023-03-26
10024,Customer_10024,Male,46,West,Consumer,2023-11-16
10025,Customer_10025,Male,23,West,Consumer,2023-09-17
10026,Customer_10026,Female,34,Central,Consumer,2024-06-03
10027,Customer_10027,Male,43,West,Enterprise,2022-11-15
10028,Customer_10028,Female,38,North,Small Business,2025-02-21
10029,Customer_10029,Female,25,Central,Consumer,2025-10-27
10030,Customer_10030,Male,38,Central,Consumer,2025-10-06
10031,Customer_10031,Female,28,East,Consumer,2025-09-08
10032,Customer_10032,Male,55,East,Consumer,2023-05-03
10033,Customer_10033,Male,25,Central,Consumer,2023-03-27
