ProductID,InventoryDate,StockReceived,StockSold,ClosingStock
2001,2026-01-01,182,75,260
2001,2026-02-01,14,21,253
2001,2026-03-01,110,147,216
2001,2026-04-01,185,78,323
2001,2026-05-01,213,78,458
2001,2026-06-01,131,39,550
2002,2026-01-01,33,20,2046
2002,2026-02-01,198,34,2210
2002,2026-03-01,252,107,2355
2002,2026-04-01,43,87,2311
2002,2026-05-01,12,81,2242
2002,2026-06-01,290,91,2441
2003,2026-01-01,123,72,1257
2003,2026-02-01,218,155,1320
2003,2026-03-01,136,32,1424
2003,2026-04-01,90,11,1503
2003,2026-05-01,149,3,1649
2003,2026-06-01,134,97,1686
2004,2026-01-01,157,125,1136
2004,2026-02-01,112,83,1165
2004,2026-03-01,163,145,1183
2004,2026-04-01,126,28,1281
2004,2026-05-01,22,107,1196
2004,2026-06-01,285,53,1428
2005,2026-01-01,221,31,1238
2005,2026-02-01,79,178,1139
2005,2026-03-01,211,58,1292
2005,2026-04-01,56,115,1233
2005,2026-05-01,206,140,1299
2005,2026-06-01,173,109,1363
2006,2026-01-01,98,118,1060
2006,2026-02-01,34,42,1052
2006,2026-03-01,127,11,1168
2006,2026-04-01,128,45,1251
2006,2026-05-01,81,92,1240
2006,2026-06-01,104,146,1198
2007,2026-01-01,18,102,1696
2007,2026-02-01,163,24,1835
2007,2026-03-01,85,35,1885
2007,2026-04-01,115,178,1822
2007,2026-05-01,263,4,2081
2007,2026-06-01,222,123,2180
2008,2026-01-01,3,38,2007
2008,2026-02-01,38,179,1866
2008,2026-03-01,279,85,2060
2008,2026-04-01,227,110,2177
2008,2026-05-01,285,69,2393
2008,2026-06-01,169,127,2435
2009,2026-01-01,200,143,1828
2009,2026-02-01,247,143,1932
2009,2026-03-01,186,71,2047
2009,2026-04-01,196,157,2086
2009,2026-05-01,21,168,1939
2009,2026-06-01,65,115,1889
2010,2026-01-01,95,165,2136
2010,2026-02-01,138,5,2269
2010,2026-03-01,219,55,2433
2010,2026-04-01,176,47,2562
2010,2026-05-01,70,97,2535
2010,2026-06-01,3,149,2389
2011,2026-01-01,16,135,496
2011,2026-02-01,231,176,551
2011,2026-03-01,98,35,614
2011,2026-04-01,142,13,743
