OrderID,OrderDate,CustomerID,ProductID,Quantity,Category,UnitCost,SellingPrice,UnitPrice,Discount,Revenue,Cost,Region,ShippingCost,DeliveryDays,Profit
500001,2026-06-25,14407,2159,3,Electronics,806.62,1288.11,1288.11,0.3,2705.03,2419.86,South,126.58,6,158.59
500002,2025-01-18,14974,2181,2,Electronics,486.43,921.2,921.2,0.258,1367.06,972.86,North,101.08,4,293.12
500003,2026-05-03,13600,2116,3,Sports,146.68,303.8,303.8,0.115,806.59,440.04,West,76.23,6,290.32
500004,2025-02-24,14953,2048,1,Home & Kitchen,832.51,1693.26,1693.26,0.025,1650.93,832.51,South,37.16,7,781.26
500005,2026-03-27,12322,2138,1,Electronics,868.97,1463.65,1463.65,0.246,1103.59,868.97,East,492.89,9,-258.27
500006,2025-12-01,13878,2156,3,Home & Kitchen,839.79,1613.66,1613.66,0.048,4608.61,2519.37,North,187.28,5,1901.96
500007,2026-05-23,13523,2268,3,Home & Kitchen,376.6,677.72,677.72,0.036,1959.97,1129.8,West,101.18,6,728.99
500008,2025-04-22,14627,2271,2,Sports,826.83,1093.53,1093.53,0.003,2180.5,1653.66,West,65.69,4,461.15
500009,2025-09-22,14113,2066,1,Sports,178.2,307.6,307.6,0.079,283.3,178.2,North,81.4,3,23.7
500010,2025-03-27,12766,2117,3,Sports,48.82,75.98,75.98,0.11,202.87,146.46,West,33.4,6,23.01
500011,2025-04-02,14566,2190,3,Home & Kitchen,710.2,1032.97,1032.97,0.064,2900.58,2130.6,North,146.11,3,623.87
500012,2025-01-14,14907,2300,2,Sports,283.85,334.02,334.02,0.075,617.94,567.7,East,474.8,7,-424.56
500013,2025-04-10,10555,2171,2,Office Supplies,375.01,521.76,521.76,0.05,991.34,750.02,North,163.38,5,77.94
500014,2025-04-01,12141,2023,1,Home & Kitchen,703.26,1315.65,1315.65,0.046,1255.13,703.26,West,126.24,5,425.63
500015,2026-03-16,14978,2006,3,Furniture,362.45,672.91,672.91,0.075,1867.33,1087.35,East,347.79,6,432.19
500016,2026-01-13,12679,2186,3,Home & Kitchen,860.46,1801.75,1801.75,0.015,5324.17,2581.38,South,172.63,2,2570.16
500017,2026-04-09,14917,2195,1,Electronics,85.97,160.7,160.7,0.206,127.6,85.97,North,130.82,5,-89.19
500018,2025-11-20,10584,2266,2,Home & Kitchen,688.4,864.0,864.0,0.055,1632.96,1376.8,West,128.37,5,127.79
500019,2026-05-28,14942,2196,4,Office Supplies,209.31,286.56,286.56,0.033,1108.41,837.24,East,409.3,7,-138.13
500020,2026-05-19,11997,2061,3,Clothing,129.75,267.63,267.63,0.06,754.72,389.25,West,186.23,3,179.24
500021,2025-04-06,10842,2141,2,Electronics,140.42,247.78,247.78,0.184,404.38,280.84,South,147.29,6,-23.75
500022,2025-08-24,12376,2092,1,Sports,426.18,723.38,723.38,0.052,685.76,426.18,East,267.51,7,-7.93
500023,2026-03-20,14039,2095,1,Home & Kitchen,466.0,904.9,904.9,0.05,859.66,466.0,East,350.74,6,42.92
500024,2025-10-02,11805,2209,4,Clothing,607.32,1185.07,1185.07,0.091,4308.91,2429.28,West,127.4,6,1752.23
500025,2025-08-11,10730,2145,1,Office Supplies,442.65,788.09,788.09,0.034,761.29,442.65,East,253.43,8,65.21
500026,2026-06-02,14350,2140,3,Furniture,188.91,267.07,267.07,0.031,776.37,566.73,Central,107.72,4,101.92
500027,2025-08-23,11464,2173,2,Home & Kitchen,237.76,473.72,473.72,0.047,902.91,475.52,West,193.38,5,234.01
500028,2025-05-25,14947,2127,1,Home & Kitchen,277.47,376.55,376.55,0.013,371.65,277.47,East,307.58,4,-213.4
500029,2025-12-22,12168,2114,6,Home & Kitchen,785.05,1341.12,1341.12,0.053,7620.24,4710.3,South,128.36,2,2781.58
500030,2025-08-08,14918,2168,15,Electronics,414.67,838.12,838.12,0.277,9089.41,6220.05,South,104.61,1,2764.75
500031,2025-12-07,11573,2203,4,Home & Kitchen,743.5,1003.43,1003.43,0.04,3853.17,2974.0,South,214.89,7,664.28
500032,2025-03-02,14967,2138,1,Electronics,868.97,1463.65,1463.65,0.31,1009.92,868.97,South,217.49,2,-76.54
500033,2025-06-02,11394,2228,3,Electronics,347.98,439.98,439.98,0.218,1032.19,1043.94,North,87.99,7,-99.74
500034,2025-06-20,10257,2083,6,Furniture,311.56,396.24,396.24,0.05,2258.57,1869.36,East,281.55,6,107.66
500035,2025-06-20,10128,2002,10,Sports,642.69,1126.65,1126.65,0.092,10229.98,6426.9,East,227.9,2,3575.18
500036,2026-03-23,11383,2253,1,Office Supplies,721.03,971.44,971.44,0.047,925.78,721.03,West,107.34,5,97.41
500037,2025-02-05,13729,2013,1,Furniture,895.94,1259.88,1259.88,0.002,1257.36,895.94,North,65.14,2,296.28
500038,2025-03-12,14652,2040,3,Home & Kitchen,355.21,732.32,732.32,0.088,2003.63,1065.63,South,45.35,6,892.65
500039,2025-08-01,12701,2065,3,Clothing,744.57,995.74,995.74,0.012,2951.37,2233.71,West,57.35,3,660.31
