ProductID,ProductName,Category,Supplier,UnitCost,SellingPrice,StockQuantity
2001,Product_2001,Furniture,Supplier_D,534.31,978.38,153
2002,Product_2002,Sports,Supplier_C,642.69,1126.65,2033
2003,Product_2003,Electronics,Supplier_B,399.32,499.15,1206
2004,Product_2004,Electronics,Supplier_A,280.12,352.66,1104
2005,Product_2005,Home & Kitchen,Supplier_C,509.67,768.62,1048
2006,Product_2006,Furniture,Supplier_D,362.45,672.91,1080
2007,Product_2007,Clothing,Supplier_C,231.7,449.79,1780
2008,Product_2008,Sports,Supplier_A,761.74,886.58,2042
2009,Product_2009,Electronics,Supplier_C,449.22,561.53,1771
2010,Product_2010,Sports,Supplier_D,768.69,1193.81,2206
2011,Product_2011,Home & Kitchen,Supplier_E,447.67,902.31,615
2012,Product_2012,Clothing,Supplier_B,518.85,843.82,30
2013,Product_2013,Furniture,Supplier_B,895.94,1259.88,2394
2014,Product_2014,Furniture,Supplier_E,858.29,1305.07,1741
2015,Product_2015,Clothing,Supplier_A,273.65,428.16,2446
2016,Product_2016,Furniture,Supplier_C,787.04,1406.04,2298
2017,Product_2017,Electronics,Supplier_C,375.75,469.69,1184
2018,Product_2018,Office Supplies,Supplier_E,101.27,153.93,637
2019,Product_2019,Furniture,Supplier_E,535.17,944.16,784
2020,Product_2020,Home & Kitchen,Supplier_D,880.26,1249.23,68
2021,Product_2021,Furniture,Supplier_D,877.91,1503.13,470
2022,Product_2022,Sports,Supplier_B,148.76,221.57,1818
2023,Product_2023,Home & Kitchen,Supplier_A,703.26,1315.65,510
2024,Product_2024,Furniture,Supplier_A,730.44,882.06,1912
2025,Product_2025,Furniture,Supplier_E,357.12,722.12,1452
2026,Product_2026,Home & Kitchen,Supplier_B,606.39,796.21,2474
2027,Product_2027,Electronics,Supplier_B,459.82,574.78,1094
2028,Product_2028,Office Supplies,Supplier_D,235.99,459.85,2242
2029,Product_2029,Office Supplies,Supplier_C,694.69,1372.58,1304
2030,Product_2030,Electronics,Supplier_A,265.97,332.46,1777
2031,Product_2031,Furniture,Supplier_B,332.79,670.0,242
2032,Product_2032,Office Supplies,Supplier_D,203.42,286.75,288
2033,Product_2033,Electronics,Supplier_D,658.57,823.21,920
2034,Product_2034,Electronics,Supplier_D,434.5,543.12,938
2035,Product_2035,Office Supplies,Supplier_C,421.3,636.85,2385
2036,Product_2036,Home & Kitchen,Supplier_B,559.92,883.66,404
2037,Product_2037,Clothing,Supplier_E,175.25,301.4,1629
2038,Product_2038,Electronics,Supplier_E,812.41,1339.67,645
2039,Product_2039,Furniture,Supplier_D,439.99,698.89,1243
2040,Product_2040,Home & Kitchen,Supplier_D,355.21,732.32,1927
2041,Product_2041,Sports,Supplier_C,148.95,197.47,1382
2042,Product_2042,Clothing,Supplier_D,184.44,239.79,1734
2043,Product_2043,Clothing,Supplier_B,831.51,1519.79,2372
2044,Product_2044,Electronics,Supplier_D,432.69,540.86,1795
2045,Product_2045,Sports,Supplier_D,661.08,1063.51,1288
2046,Product_2046,Furniture,Supplier_B,109.24,175.86,861
2047,Product_2047,Electronics,Supplier_A,593.38,741.72,1672
2048,Product_2048,Home & Kitchen,Supplier_E,832.51,1693.26,1251
2049,Product_2049,Home & Kitchen,Supplier_D,297.97,422.65,1767
2050,Product_2050,Office Supplies,Supplier_B,538.06,766.21,1302
2051,Product_2051,Electronics,Supplier_E,848.59,1060.74,2230
2052,Product_2052,Sports,Supplier_C,658.62,848.63,757
2053,Product_2053,Electronics,Supplier_A,93.6,117.0,360
2054,Product_2054,Electronics,Supplier_D,365.71,457.14,1971
2055,Product_2055,Electronics,Supplier_A,113.76,142.2,1801
2056,Product_2056,Clothing,Supplier_D,780.73,1501.15,549
2057,Product_2057,Office Supplies,Supplier_D,574.63,768.66,53
2058,Product_2058,Furniture,Supplier_D,862.49,1021.06,342
2059,Product_2059,Furniture,Supplier_A,56.99,118.31,1224
2060,Product_2060,Furniture,Supplier_C,403.86,469.94,2006
2061,Product_2061,Clothing,Supplier_B,129.75,267.63,366
2062,Product_2062,Office Supplies,Supplier_B,341.42,661.46,1749
2063,Product_2063,Sports,Supplier_C,179.22,361.39,1235
2064,Product_2064,Office Supplies,Supplier_C,322.76,489.89,1622
2065,Product_2065,Clothing,Supplier_D,744.57,995.74,1722
2066,Product_2066,Sports,Supplier_D,178.2,307.6,264
2067,Product_2067,Electronics,Supplier_B,447.35,559.19,1851
2068,Product_2068,Home & Kitchen,Supplier_D,832.56,1060.95,152
2069,Product_2069,Electronics,Supplier_D,898.95,1123.69,1390
2070,Product_2070,Furniture,Supplier_C,255.55,344.52,2116
