ReturnID,OrderID,ReturnDate,ReturnReason,RefundAmount
900001,500015,2026-03-25,Poor Quality,1837.71
900002,500021,2025-04-07,Poor Quality,401.35
900003,500030,2025-08-30,Late Delivery,8941.83
900004,500042,2026-06-05,Poor Quality,1124.53
900005,500048,2026-03-08,Not as Described,560.74
900006,500049,2026-02-10,Damaged,47.17
900007,500055,2025-05-03,Poor Quality,2211.1
900008,500079,2025-09-24,Late Delivery,506.3
900009,500098,2025-09-07,Damaged,2928.95
900010,500110,2026-07-02,Changed Mind,599.09
900011,500135,2026-01-28,Poor Quality,1359.77
900012,500140,2025-04-05,Damaged,1540.73
900013,500142,2026-02-16,Damaged,234.88
900014,500155,2025-06-07,Poor Quality,376.02
900015,500176,2025-12-06,Damaged,365.05
900016,500178,2026-02-10,Damaged,916.17
900017,500186,2025-10-16,Poor Quality,525.46
900018,500196,2025-11-21,Not as Described,545.47
900019,500232,2025-10-12,Poor Quality,1191.45
900020,500237,2025-09-20,Poor Quality,296.28
900021,500256,2026-05-30,Wrong Product,664.37
900022,500273,2025-04-12,Poor Quality,2596.48
900023,500275,2025-02-04,Poor Quality,656.82
900024,500282,2025-01-25,Poor Quality,712.49
900025,500284,2025-01-25,Not as Described,2810.95
900026,500295,2025-02-01,Not as Described,1979.74
900027,500311,2026-06-27,Poor Quality,2029.62
900028,500316,2025-07-21,Poor Quality,8076.52
900029,500318,2025-02-03,Poor Quality,3092.53
900030,500337,2025-04-05,Late Delivery,2234.32
900031,500344,2026-02-09,Poor Quality,2677.62
900032,500345,2026-04-01,Late Delivery,634.79
900033,500346,2025-07-26,Not as Described,264.74
900034,500365,2026-03-04,Changed Mind,630.15
900035,500392,2025-06-14,Not as Described,1797.62
900036,500398,2025-02-18,Poor Quality,183.14
900037,500405,2025-03-29,Unknown,396.46
900038,500417,2025-04-10,Poor Quality,759.37
900039,500418,2026-01-05,Wrong Product,2530.63
900040,500445,2026-04-18,Late Delivery,229.67
900041,500478,2025-02-08,Wrong Product,1983.6
900042,500495,2026-01-15,Poor Quality,1175.26
900043,500504,2026-02-09,Not as Described,1056.99
900044,500512,2025-02-11,Poor Quality,896.02
900045,500523,2025-12-04,Late Delivery,860.75
900046,500527,2026-04-08,Poor Quality,1183.18
900047,500531,2026-06-27,Late Delivery,246.52
900048,500551,2026-04-12,Wrong Product,5706.56
900049,500561,2025-10-06,Poor Quality,2018.14
900050,500565,2025-07-08,Poor Quality,1631.4
900051,500576,2025-11-02,Not as Described,710.9
900052,500593,2025-10-24,Poor Quality,12333.73
900053,500598,2025-11-01,Poor Quality,3408.22
900054,500614,2026-01-06,Damaged,309.36
900055,500627,2025-12-20,Wrong Product,686.94
900056,500630,2025-09-07,Changed Mind,834.75
900057,500643,2026-04-06,Poor Quality,891.29
900058,500650,2026-03-01,Poor Quality,1441.1
900059,500671,2025-09-28,Late Delivery,2274.61
900060,500703,2025-06-09,Late Delivery,582.89
900061,500714,2025-10-29,Poor Quality,345.89
900062,500726,2025-03-17,Late Delivery,197.3
900063,500731,2026-04-15,Wrong Product,1946.9
900064,500743,2025-06-30,Changed Mind,1190.05
900065,500744,2026-02-19,Late Delivery,1738.01
900066,500771,2025-03-30,Damaged,4001.58
900067,500795,2025-09-25,Wrong Product,745.98
900068,500802,2026-04-19,Late Delivery,1608.38
900069,500815,2025-08-27,Poor Quality,1694.07
900070,500840,2026-01-27,Poor Quality,1444.99
900071,500854,2025-09-11,Wrong Product,2933.38
900072,500860,2025-03-05,Poor Quality,726.33
900073,500864,2025-12-24,Not as Described,2008.95
900074,500891,2025-04-15,Not as Described,223.9
900075,500922,2025-11-28,Poor Quality,623.05
900076,500947,2026-04-24,Changed Mind,2255.47
900077,500950,2025-05-18,Poor Quality,740.4
900078,500956,2025-09-07,Not as Described,2649.41
900079,500969,2025-03-18,Changed Mind,743.09
900080,500971,2026-03-03,Late Delivery,1442.88
900081,500972,2025-12-17,Wrong Product,4801.23
900082,500983,2025-12-30,Changed Mind,1457.15
900083,501011,2026-03-11,Wrong Product,3972.6
900084,501039,2026-04-24,Not as Described,961.8
900085,501043,2025-03-05,Changed Mind,911.93
900086,501044,2026-02-15,Poor Quality,2060.97
900087,501068,2025-09-09,Not as Described,1984.89
900088,501072,2025-08-15,Not as Described,1918.73
900089,501090,2025-03-15,Damaged,6146.86
900090,501093,2025-03-03,Wrong Product,156.92
900091,501094,2025-08-05,Changed Mind,631.75
900092,501101,2025-02-13,Unknown,811.05
